7shifts
AI Seer
AImotive
ARCatar
AZA Finance
Aanika Biosciences
Acelab
Aladdin
Alexsei
Algen
AltoBeam
Amboss
AngelList
ArchForm
Arkham
Armada
Arrow Labs
Arthur
AtlasUp
Atomwise
Autopilot
Bagaveev Corporation
Baidu (BIDU)
Bancor (BNT)
"Because,  Animals"
Benchling
Biofire
BitWage
Bitcoin (BTC)
Bitrefill
Blowhorn
Blue
Box (BOX)
CancerFree
CapConnect
Carta
Cipher Skin
ClinChoice
CloudMedX
Coachtube
Cognitive
Coinbase (COIN)
Colossal
Concha
Consensus
Coop
Cortex Composites
Coverstar
Crowdcube
Cruise
Cryptio
Cryptoys
Cyberswarm
Cyfoundry (TCFC)
D-Wave
Drop Water
ETHSign
EquityZen
Ethereum (ETH)
Ethermail
Etherscan
Everlance
Fairmint (FAIR)
Favor
Finless Foods
Finmark
Firehawk
Fivetran
Forge Global
FormBio
Forte
Funderbeam
FundersClub
GUN
Gemini
Gitopia
Global Energy Transmission
GoPillar
GoldBelly
Gravitics
Gravity
Handshake (HNS)
Helium Health
Hinkal
Hint Health
Hiro
Hotmail
Hux
ICON
ISono Health
Iceye
IdeaFlow
Immersion
ImpriMed
Instapath
Instructure (INST)
Interintellect
IoNetworks
Jetpack Aviation
Jing Jin Electric
Jur
Keep (Thesis)
Kenota Health
Kickfurther
Landeed
Lantern
LawTrades
Lawyaw
LeadIQ
Ledger
Lemon Cash
Logic
Longshot
Lord of Trees
LunarCrush
Magis
Make Sense
Make Sunsets
MakeSchool
Maker (MKR)
Mat3ra
MiResource
Mogul
Morpher (MPH)
NVision
Naoris
Natilus
Near Space Labs
Neurala
Noteworth
Numetric
Nutmeg
Ocos
Oklo
Old Street Digital
OpenGov
OpenNode
Opolis
Otter.ai
Outpost
PROTO
Paperless Post
Parametric Technologies (PTC)
Persimmon
Phantom
Picnic
Pointy
Polygon (MATIC)
Polymarket
Precious Payload
Precision Neuroscience
Pretty Litter
Propy
Propyverse
Prosper Marketplace
Proximie
Pubmatic (PUBM)
PureCode
Qikfox
Quilo
Quotabook
Radiant
React Labs (Upliance AI)
RealT
Ripio
Rise
Robinhood (HOOD)
Rosotics
Rosy Soil
Schmoody
SherpaShare
Shmoody
SkyTran
Skybox
Skype
Slingshot
SocialCam
Solid Block
SourceDay
Splashtop
StackCommerce
Stamm
Standard Cognition
StayQrious
SteadyMD
Stemuli
Stonks
Storyhunter
Sun Zu Lab
Sunroom
SuperMojo
Takadao
Team Wildfire
Tempo Automation
Ten63
Tesla (TSLA)
Tezos
Tezsure
The Bouqs
The News Lens
The Players Lounge
Thesis
Thumbtack
Traxyl
Twitch
Uangteman
Unocoin
Unstoppable Domains
Upshot
Vae Labs
Venus Aero
Verge Genomics
Verified (Formerly UnumID)
Viewabo
Vivoo
Vungle
Wambi
Webflow
Wescover
Wisecut
Wyre
Xanadu
YeePay
Zilingo
