name,url
Egg,https://static.wikia.nocookie.net/balatrogame/images/2/26/Egg.png/revision/latest/scale-to-width-down/80?cb=20230925034821
Burglar,https://static.wikia.nocookie.net/balatrogame/images/2/29/Burglar.png/revision/latest/scale-to-width-down/80?cb=20230925034923
Blackboard,https://static.wikia.nocookie.net/balatrogame/images/c/c6/Blackboard.png/revision/latest/scale-to-width-down/80?cb=20230925035010
Runner,https://static.wikia.nocookie.net/balatrogame/images/1/14/Runner.png/revision/latest/scale-to-width-down/80?cb=20230925035057
Ice Cream,https://static.wikia.nocookie.net/balatrogame/images/5/5d/Ice_Cream.png/revision/latest/scale-to-width-down/80?cb=20230925035153
DNA,https://static.wikia.nocookie.net/balatrogame/images/4/47/DNA.png/revision/latest/scale-to-width-down/80?cb=20230925035227
Splash,https://static.wikia.nocookie.net/balatrogame/images/0/01/Splash.png/revision/latest/scale-to-width-down/80?cb=20230925035324
Blue Joker,https://static.wikia.nocookie.net/balatrogame/images/e/ed/Blue_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232300
Sixth Sense,https://static.wikia.nocookie.net/balatrogame/images/d/d5/Sixth_Sense.png/revision/latest/scale-to-width-down/80?cb=20240320232300
Constellation,https://static.wikia.nocookie.net/balatrogame/images/6/69/Constellation.png/revision/latest/scale-to-width-down/80?cb=20230925035508
Hiker,https://static.wikia.nocookie.net/balatrogame/images/a/a9/Hiker.png/revision/latest/scale-to-width-down/80?cb=20230925035548
Faceless Joker,https://static.wikia.nocookie.net/balatrogame/images/8/8f/Faceless_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232316
Green Joker,https://static.wikia.nocookie.net/balatrogame/images/6/6c/Green_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232316
Superposition,https://static.wikia.nocookie.net/balatrogame/images/6/68/Superposition.png/revision/latest/scale-to-width-down/80?cb=20230925035625
To Do List,https://static.wikia.nocookie.net/balatrogame/images/2/2c/To_Do_List.png/revision/latest/scale-to-width-down/80?cb=20230925035709
Cavendish,https://static.wikia.nocookie.net/balatrogame/images/1/13/Cavendish.png/revision/latest/scale-to-width-down/80?cb=20240320232317
Card Sharp,https://static.wikia.nocookie.net/balatrogame/images/1/12/Card_Sharp.png/revision/latest/scale-to-width-down/80?cb=20240223202913
Red Card,https://static.wikia.nocookie.net/balatrogame/images/9/93/Red_Card.png/revision/latest/scale-to-width-down/80?cb=20240320232317
Madness,https://static.wikia.nocookie.net/balatrogame/images/e/ee/Madness.png/revision/latest/scale-to-width-down/80?cb=20240320232318
Square Joker,https://static.wikia.nocookie.net/balatrogame/images/5/53/Square_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232318
Séance,https://static.wikia.nocookie.net/balatrogame/images/6/6f/S%C3%A9ance.png/revision/latest/scale-to-width-down/80?cb=20240320232319
Riff-Raff,https://static.wikia.nocookie.net/balatrogame/images/d/d2/Riff-Raff.png/revision/latest/scale-to-width-down/80?cb=20240223203332
Vampire,https://static.wikia.nocookie.net/balatrogame/images/4/4e/Vampire.png/revision/latest/scale-to-width-down/80?cb=20240320232319
Shortcut,https://static.wikia.nocookie.net/balatrogame/images/8/89/Shortcut.png/revision/latest/scale-to-width-down/80?cb=20240320232320
Hologram,https://static.wikia.nocookie.net/balatrogame/images/0/07/Hologram.gif/revision/latest/scale-to-width-down/80?cb=20240413030441
Vagabond,https://static.wikia.nocookie.net/balatrogame/images/e/e7/Vagabond.png/revision/latest/scale-to-width-down/80?cb=20240320232321
Baron,https://static.wikia.nocookie.net/balatrogame/images/4/40/Baron.png/revision/latest/scale-to-width-down/80?cb=20240223203540
Cloud 9,https://static.wikia.nocookie.net/balatrogame/images/4/4a/Cloud_9.png/revision/latest/scale-to-width-down/80?cb=20240320232321
Rocket,https://static.wikia.nocookie.net/balatrogame/images/f/fb/Rocket.png/revision/latest/scale-to-width-down/80?cb=20240320232322
Obelisk,https://static.wikia.nocookie.net/balatrogame/images/b/be/Obelisk.png/revision/latest/scale-to-width-down/80?cb=20240320232322
Midas Mask,https://static.wikia.nocookie.net/balatrogame/images/8/84/Midas_Mask.png/revision/latest/scale-to-width-down/80?cb=20240320232323
Luchador,https://static.wikia.nocookie.net/balatrogame/images/6/64/Luchador.png/revision/latest/scale-to-width-down/80?cb=20240320232323
Photograph,https://static.wikia.nocookie.net/balatrogame/images/0/06/Photograph.png/revision/latest/scale-to-width-down/80?cb=20240320232957
Gift Card,https://static.wikia.nocookie.net/balatrogame/images/3/37/Gift_Card.png/revision/latest/scale-to-width-down/80?cb=20240320232324
Turtle Bean,https://static.wikia.nocookie.net/balatrogame/images/c/ca/Turtle_Bean.png/revision/latest/scale-to-width-down/80?cb=20240320232324
Erosion,https://static.wikia.nocookie.net/balatrogame/images/3/3a/Erosion.png/revision/latest/scale-to-width-down/80?cb=20240320232325
Reserved Parking,https://static.wikia.nocookie.net/balatrogame/images/c/c2/Reserved_Parking.png/revision/latest/scale-to-width-down/80?cb=20240320232325
Mail-In Rebate,https://static.wikia.nocookie.net/balatrogame/images/3/3d/Mail-In_Rebate.png/revision/latest/scale-to-width-down/80?cb=20240320232326
To the Moon,https://static.wikia.nocookie.net/balatrogame/images/d/d1/To_the_Moon.png/revision/latest/scale-to-width-down/80?cb=20240320232326
Hallucination,https://static.wikia.nocookie.net/balatrogame/images/b/bc/Hallucination.png/revision/latest/scale-to-width-down/80?cb=20240320232327
Fortune Teller,https://static.wikia.nocookie.net/balatrogame/images/8/8b/Fortune_Teller.png/revision/latest/scale-to-width-down/80?cb=20230925030949
Juggler,https://static.wikia.nocookie.net/balatrogame/images/b/be/Juggler.png/revision/latest/scale-to-width-down/80?cb=20230925005642
Drunkard,https://static.wikia.nocookie.net/balatrogame/images/4/48/Drunkard.png/revision/latest/scale-to-width-down/80?cb=20230925005733
Stone Joker,https://static.wikia.nocookie.net/balatrogame/images/c/c9/Stone_Joker.png/revision/latest/scale-to-width-down/80?cb=20230925005605
Golden Joker,https://static.wikia.nocookie.net/balatrogame/images/9/9a/Golden_Joker.png/revision/latest/scale-to-width-down/80?cb=20230925013018
Lucky Cat,https://static.wikia.nocookie.net/balatrogame/images/f/f1/Lucky_Cat.png/revision/latest/scale-to-width-down/80?cb=20240320232327
Baseball Card,https://static.wikia.nocookie.net/balatrogame/images/d/dd/Baseball_Card.png/revision/latest/scale-to-width-down/80?cb=20240320232328
Bull,https://static.wikia.nocookie.net/balatrogame/images/7/7a/Bull.png/revision/latest/scale-to-width-down/80?cb=20240320232328
Diet Cola,https://static.wikia.nocookie.net/balatrogame/images/5/57/Diet_Cola.png/revision/latest/scale-to-width-down/80?cb=20240320232328
Trading Card,https://static.wikia.nocookie.net/balatrogame/images/0/0c/Trading_Card.png/revision/latest/scale-to-width-down/80?cb=20240320232329
Flash Card,https://static.wikia.nocookie.net/balatrogame/images/e/e3/Flash_Card.png/revision/latest/scale-to-width-down/80?cb=20240320232329
Popcorn,https://static.wikia.nocookie.net/balatrogame/images/8/85/Popcorn.png/revision/latest/scale-to-width-down/80?cb=20240320232401
Spare Trousers,https://static.wikia.nocookie.net/balatrogame/images/8/85/Spare_Trousers.png/revision/latest/scale-to-width-down/80?cb=20240320232402
Ancient Joker,https://static.wikia.nocookie.net/balatrogame/images/a/a3/Ancient_Joker.png/revision/latest/scale-to-width-down/80?cb=20240320232402
Ramen,https://static.wikia.nocookie.net/balatrogame/images/f/f8/Ramen.png/revision/latest/scale-to-width-down/80?cb=20240320232403
Walkie Talkie,https://static.wikia.nocookie.net/balatrogame/images/a/a3/Walkie_Talkie.png/revision/latest/scale-to-width-down/80?cb=20240320232403
Seltzer,https://static.wikia.nocookie.net/balatrogame/images/6/69/Seltzer.png/revision/latest/scale-to-width-down/80?cb=20240320232404
Castle,https://static.wikia.nocookie.net/balatrogame/images/1/1f/Castle.png/revision/latest/scale-to-width-down/80?cb=20240320232404
Smiley Face,https://static.wikia.nocookie.net/balatrogame/images/6/6f/Smiley_Face.png/revision/latest/scale-to-width-down/80?cb=20240320232405
Campfire,https://static.wikia.nocookie.net/balatrogame/images/0/01/Campfire.png/revision/latest/scale-to-width-down/80?cb=20240320232405
Golden Ticket,https://static.wikia.nocookie.net/balatrogame/images/c/cf/Golden_Ticket.png/revision/latest/scale-to-width-down/80?cb=20230925020945
Mr. Bones,https://static.wikia.nocookie.net/balatrogame/images/1/11/Mr._Bones.png/revision/latest/scale-to-width-down/80?cb=20230925021838
Acrobat,https://static.wikia.nocookie.net/balatrogame/images/8/8f/Acrobat.png/revision/latest/scale-to-width-down/80?cb=20240320232405
Sock and Buskin,https://static.wikia.nocookie.net/balatrogame/images/4/48/Sock_and_Buskin.png/revision/latest/scale-to-width-down/80?cb=20230925005845
Swashbuckler,https://static.wikia.nocookie.net/balatrogame/images/8/88/Swashbuckler.png/revision/latest/scale-to-width-down/80?cb=20230925031133
Troubadour,https://static.wikia.nocookie.net/balatrogame/images/6/64/Troubadour.png/revision/latest/scale-to-width-down/80?cb=20230925010607
